state_name,ENACTED,state_abbv,already_enacted
Alabama,No,AL,No
Alaska,No,AK,No
Arizona,No,AZ,No
Arkansas,No,AR,No
California,No,CA,No
Colorado,2019,CO,Enacted
Connecticut,2008,CT,Enacted
Delaware,2010,DE,Enacted
District of Columbia,2009,DC,Enacted
Florida,No,FL,No
Georgia,No,GA,No
Hawaii,No,HI,No
Idaho,No,ID,No
Illinois,2013,IL,Enacted
Indiana,1995,IN,Enacted
Iowa,No,IA,No
Kansas,No,KS,No
Kentucky,2010,KY,Enacted
Louisiana,No,LA,No
Maine,2004,ME,Enacted
Maryland,2010,MD,Enacted
Massachusetts,No,MA,No
Michigan,No,MI,No
Minnesota,No,MN,No
Mississippi,1997,MS,Enacted
Missouri,No,MO,No
Montana,No,MT,No
Nebraska,1994,NE,Enacted
Nevada,No,NV,No
New Hampshire,No,NH,No
New Jersey,No,NJ,No
New Mexico,2016,NM,Enacted
New York,No,NY,No
North Carolina,2016,NC,Enacted
North Dakota,No,ND,No
Ohio,1981,OH,Enacted
Oklahoma,No,OK,No
Oregon,No,OR,No
Pennsylvania,No,PA,No
Rhode Island,No,RI,No
South Carolina,1997,SC,Enacted
South Dakota,No,SD,No
Tennessee,No,TN,No
Texas,No,TX,No
Utah,2018,UT,Enacted
Vermont,2010,VT,Enacted
Virginia,2004,VA,Enacted
Washington,No,WA,No
West Virginia,2013,WV,Enacted
Wisconsin,No,WI,No
Wyoming,No,WY,No
